_s__no_,state,number_of_complete_esz_proposals_with_the_ministry,number_of_esz_proposals_approved_notified,number_of_protected_areas_covered_under_the_approved_notified_esz_proposals,number_of_esz_proposals_to_be_notified
1,Andhra Pradesh /Telangana,15,14,14,1
2,Andaman & Nicobar,0,0,0,0
3,Arunachal Pradesh,9,9,9,0
4,Assam,7,6,6,1
5,Bihar,6,5,5,1
6,Chhattisgarh,8,8,8,0
7,Chandigarh,2,2,2,0
8,Dadra Nagar Haveli,1,1,1,0
9,Daman & Diu,0,0,0,0
10,Delhi,0,0,0,0
11,Goa,6,6,7,0
12,Gujarat,14,14,15,0
13,Haryana,8,8,9,0
14,Himachal Pradesh,16,15,16,1
15,Jammu & Kashmir,1,0,0,1
16,Jharkhand,3,3,5,0
17,Karnataka,21,21,21,0
18,Kerala,16,16,16,0
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,18,18,21,0
21,Maharashtra,19,18,27,1
22,Manipur,6,5,5,1
23,Meghalaya,3,3,3,0
24,Mizoram,0,0,0,0
25,Nagaland,0,0,0,0
26,Orissa,8,7,9,1
27,Punjab,14,13,13,1
28,Pondicherry,0,0,0,0
29,Rajasthan,15,15,15,0
30,Sikkim,8,8,8,0
31,Tamil Nadu,2,2,2,0
32,Tripura,2,2,2,0
33,Uttar Pradesh,7,7,7,0
34,Uttarakhand,2,2,2,0
35,West Bengal,1,1,1,0
Total,Total,238,229,249,9
