months,_2018,_2019,_2020,growth_2019_18_,growth_2020_19_
January,452236,440907,611702,-2.51,38.74
February,453298,402203,495109,-11.27,23.1
March,504091,484602,287681,-3.87,-40.64
April,496531,507704,233,2.25,-99.95
May,529423,618600,25760,16.84,-95.84
June,723338,668724,180956,-7.55,-72.94
July,774602,775580,284643,0.13,-63.3
August,685513,673569,270669,-1.74,-59.82
September,448040,489514,274391,9.26,-43.95
October,527386,624463,332214,18.41,-46.8
November,588362,606876,406941,3.15,-32.94
December,682624,690417,422057,1.14,-38.87
Total,6865444,6983159,3592356,1.71,-48.56
