Sl. No,Name Of The Project,Year Of Sanction,Approved Cost Crore
1,Development of Kanchipuram,2016-17,13.99
2,Development of Vellankani,2016-17,4.86
3,Development of Dwarka,2016-17,13.08
4,Pilgrimage Amenities at Somnath,2016-17,45.36
5,Development of Promenade at Somnath under PRASHAD Scheme,2018-19,47.12
6,Development of Pilgrim Plaza with Queue Management Complex at Somnath Gujarat,2021-22,49.97
7,Integrated Development of Kedarnath,2015-16,34.77
8,Development of Infrastructure for Pilgrimage Facilitation in Badrinath Ji Dham (Uttarakhand) under Prashad Scheme,2018-19,39.24
9,Augmentation of Pilgrimage Infrastructure Facilities and Gangotri and Yamunotri Dham in Uttarakhand under Prashad Scheme,2021-22,54.36
10,"Development of Parasuram Kund, Lohit Distt.",2020-21,37.88
11,Development of Kamakhya Temple and Pilgrimage Destination in and around Guwahati,2015-16,29.8
12,Development of Pilgrimage Facilitation in Meghalaya,2020-21,29.32
13,Development of Pilgrimage Infrastructure in Nagaland,2018-19,25.26
14,"Development of Pilgrimage Facilitation at Four Patron Saints, Yuksom",2020-21,33.32
15,"Development of Tripura Sundari Temple, Udaipur",2020-21,37.84
16,"Development of Amaravati Town, Guntur District as a Tourist Destination",2015-16,27.77
17,Development of Srisailam Temple,2017-18,43.08
18,Sri Varaha Lakshmi Narsimha Swami Vari Devasthanam at Simhachalam in Vishakhapatnam Temple,2022-23,54.04
19,"Development of Parshuram Kund, Lohit Distt.",2020-21,37.88
20,Development of Kamakhya Temple and Pilgrimage Destination in and around Guwahati.,2015-16,29.8
21,Development at Patna Sahib,2015-16,41.54
22,"Development of basic facilities at Vishnupad temple, Gaya, Bihar",2014-15,4.27
23,"Development of Maa Bamleshwari Devi Temple, Dongargarh, Rajnandgaon District, Chhattisgarh",2020-21,43.33
24,Development of Dwarka,2016-17,13.08
25,Development of Pilgrimage Amenities at Somnath,2016-17,45.36
26,Development of Promenade at Somnath,2018-19,47.12
27,Development of Pilgrim Plaza with Queue management complex at Somnath Gujarat,2021-22,49.97
28,"Development of Pilgrimage Facilities at Ambaji Temple, Banaskantha, Gujarat",2022-23,50
29,Development of Mata Mansa and Nada Saheb Gurudwara Devi Temple in Panchkula District,2019-20,48.53
30,"Development at Hazratbal Shrine, Srinagar",2016-17,40.46
31,"Development of Baba Baidyanath Dham, Deoghar",2018-19,39.13
32,"Development of Pilgrimage Amenities at Sri Chamundeshwari Devi Temple, Mysuru",2023-24,45.71
33,Development at Guruvayur Temple,2016-17,45.19
34,Development of Amarkantak,2020-21,49.99
35,Development of Omkareshwar,2017-18,43.93
36,"Development of Trimbakeshwar, Nashik",2017-18,52.92
37,Development of Pilgrimage Facilitation in Meghalaya,2020-21,29.32
38,Development of Infrastructure for Pilgrimage and Heritage Tourism in the State of Mizoram,2022-23,44.89
39,Development of Pilgrimage Infrastructure in Nagaland,2018-19,25.26
40,Development of Pilgrimage Tourism Infrastructure at Zunheboto,2022-23,18.18
41,"Infrastructure Development at Puri, Shree Jagannath Dham � Ramachandi - Prachi River front at Deuli under Mega Circuit",2014-15,50
42,Development of Karuna Sagar Valmiki Sthal at Amritsar,2015-16,6.4
43,"Development of Chamkaur Sahib at Rupar, Punjab",2021-22,31.57
44,Integrated Development of Pushkar/Ajmer,2015-16,32.64
45,"Development of Pilgrimage Facilitation at Four Patron Saints, Yuksom",2020-21,33.32
46,Development of Kanchipuram,2016-17,13.99
47,Development of Velankanni,2016-17,4.86
48,"Development of Jogulamba Devi Temple, Alampur",2020-21,36.73
49,"Development of Pilgrimage and Heritage Tourism Infrastructure at Rudreshwara (Ramappa) Temple, Mulugu",2022-23,62
50,"Development of Pilgrimage Infrastructure at Bhadrachalam, Bhadradri Kothagudem District",2022-23,41.38
51,"Development of Tripura Sundari Temple, Udaipur",2020-21,37.8
52,Development of Varanasi �Phase �I,2015-16,18.72
53,Development of Mathura-Vrindavan as Mega Tourist Circuit (Ph-II),2014-15,10.98
54,"River Cruise Tourism in Ganga, Varanasi",2017-18,9.02
55,Construction of Tourist Facilitation Centre at Vrindavan,2014-15,9.36
56,Development of Varanasi � Phase II,2017-18,44.6
57,Development of Infrastructure facilities at Govardhan,2018-19,39.74
58,Integrated Development of Kedarnath,2015-16,34.77
59,Development of Infrastructure for Pilgrimage Facilitation in Badrinath Ji Dham,2018-19,56.15
60,Augmentation of Pilgrimage Infrastructure Facilities and Gangotri and Yamunotri Dham,2021-22,54.36
61,Development of Belur Math,2016-17,30.03
